fold_id,gold_rows,gold_pos,gold_pos_ratio,combined_rows,combined_pos,combined_pos_ratio,delta_rows
-1,92,47,0.5109,92,47,0.5109,0
0,72,35,0.4861,72,35,0.4861,0
1,72,35,0.4861,160,80,0.5,88
2,72,35,0.4861,161,81,0.5031,89
3,72,36,0.5,166,84,0.506,94
4,72,35,0.4861,174,83,0.477,102
