dataset,rows,bbb_positive,bbb_negative,positive_ratio,length_median,length_min,length_max,unique_sequences,unique_clusters
gold_train_eligible,288,141,147,0.4896,14.0,6,30,288,288
combined_train_eligible,661,328,333,0.4962,14.0,6,30,661,288
