dataset,rows,bbb_positive,bbb_negative,positive_ratio,length_median,unique_sequences,unique_clusters
gold,452,223,229,0.4934,14.0,452,452
augmented_extra,373,187,186,0.5013,14.0,373,248
gold_plus_augmented,825,410,415,0.497,14.0,825,452
