fold_id,rows,bbb_positive,positive_ratio,unique_clusters,external_test_rows
-1,92,47,0.5109,92,92
0,72,35,0.4861,72,0
1,72,35,0.4861,72,0
2,72,35,0.4861,72,0
3,72,36,0.5,72,0
4,72,35,0.4861,72,0
